Date	GBP/CHF			
16 Aug 06	23.332			
17 Aug 06	23.249			
18 Aug 06	23.174			
21 Aug 06	23.181			
22 Aug 06	23.289			
23 Aug 06	23.374			
24 Aug 06	23.357			
25 Aug 06	23.395			
29 Aug 06	23.415			
30 Aug 06	2.342			
31 Aug 06	23.453			
01 Sep 06	23.484			
04 Sep 06	23.408			
05 Sep 06	23.374			
06 Sep 06	2.328			
07 Sep 06	23.305			
08 Sep 06	23.293			
11 Sep 06	23.194			
12 Sep 06	23.411			
13 Sep 06	23.472			
14 Sep 06	23.575			
15 Sep 06	23.637			
18 Sep 06	23.506			
19 Sep 06	23.579			
20 Sep 06	23.609			
21 Sep 06	2.374			
22 Sep 06	23.485			
25 Sep 06	23.517			
26 Sep 06	23.586			
27 Sep 06	2.35			
28 Sep 06	23.389			
29 Sep 06	23.427			
02 Oct 06	23.423			
03 Oct 06	23.508			
04 Oct 06	23.576			
05 Oct 06	23.519			
06 Oct 06	23.592			
09 Oct 06	23.518			
10 Oct 06	23.547			
11 Oct 06	23.583			
12 Oct 06	23.588			
13 Oct 06	23.669			
16 Oct 06	23.662			
17 Oct 06	23.692			
18 Oct 06	23.752			
19 Oct 06	23.665			
20 Oct 06	23.694			
23 Oct 06	23.726			
24 Oct 06	23.747			
25 Oct 06	23.754			
26 Oct 06	23.735			
27 Oct 06	23.714			
30 Oct 06	23.764			
31 Oct 06	23.727			
01/11/2006	23.702			
02/11/2006	23.745			
03/11/2006	23.855			
06/11/2006	23.835			
07/11/2006	23.801			
08/11/2006	23.816			
09/11/2006	23.689			
10/11/2006	23.686			
13/11/2006	23.664			
14/11/2006	23.572			
15/11/2006	23.552			
16/11/2006	23.565			
17/11/2006	23.568			
20/11/2006	23.576			
21/11/2006	23.573			
22/11/2006	23.508			
23/11/2006	23.432			
24/11/2006	23.377			
27/11/2006	23.407			
28/11/2006	23.528			
29/11/2006	23.572			
30/11/2006	23.569			
01 Dec 06	23.614			
04 Dec 06	23.648			
05 Dec 06	23.506			
06 Dec 06	23.488			
07 Dec 06	23.469			
08 Dec 06	23.473			
11 Dec 06	23.519			
12 Dec 06	2.364			
13 Dec 06	23.717			
14 Dec 06	23.821			
15 Dec 06	23.838			
18 Dec 06	2.383			
19 Dec 06	23.882			
20 Dec 06	23.921			
21 Dec 06	23.886			
22 Dec 06	23.883			
27 Dec 06	23.959			
28 Dec 06	2.395			
29 Dec 06	23.895			
02 Jan 07	23.942			
03 Jan 07	2.39			
04 Jan 07	23.935			
05 Jan 07	23.872			
08 Jan 07	23.934			
09 Jan 07	24.087			
10 Jan 07	24.107			
11 Jan 07	24.259			
12 Jan 07	24.446			
15 Jan 07	24.533			
16 Jan 07	24.481			
17 Jan 07	24.556			
18 Jan 07	24.625			
19 Jan 07	24.673			
